,County,Cancers,Bronchus,Prostate,Breast,Colorectal,Bladder,Neck,Hodgkin,Melanoma,Ovary,Cervix
2,Alachua,6723,853,692,1049,497,229,298,324,310,66,38
3,Baker,698,114,44,107,45,0,10,0,12,0,0
4,Bay,5449,815,500,627,475,196,268,243,357,76,21
5,Bradford,833,143,63,95,77,11,0,13,28,0,0
6,Brevard,21814,3258,2132,2769,1636,917,956,987,1436,261,143
7,Broward,47640,5170,4778,7042,3983,1878,1881,2217,2084,601,463
8,Calhoun,392,81,0,23,25,0,0,0,0,0,0
9,Charlotte,9304,1447,804,991,651,501,340,474,787,99,0
10,Citrus,7522,1221,695,817,519,305,321,343,420,105,36
11,Clay,6234,926,439,902,524,248,280,286,409,76,34
12,Collier,13474,1386,1621,1681,826,686,447,760,1259,156,64
13,Columbia,2296,393,263,298,179,87,123,92,75,0,0
14,Desoto,942,164,90,89,110,17,36,0,0,0,0
15,Dixie,611,123,20,60,44,0,13,10,0,0,0
16,Duval,26875,3804,2415,4102,2186,1021,1154,1209,1331,339,264
17,Escambia,9446,1534,983,1240,730,481,420,398,548,82,80
18,Flagler,5213,699,490,625,356,259,184,231,491,29,0
19,Franklin,403,55,26,21,0,0,0,0,0,0,0
20,Gadsden,1332,195,150,162,116,12,53,17,12,0,0
21,Gilchrist,591,128,26,54,49,0,11,0,0,0,0
22,Glades,320,13,0,0,0,0,0,0,69,0,0
23,Gulf,482,82,49,36,23,0,0,0,0,0,0
24,Hamilton,410,59,33,39,11,0,0,0,0,0,0
25,Hardee,671,95,69,70,59,0,0,0,12,0,0
26,Hendry,902,130,70,98,70,0,37,24,12,0,0
27,Hernando,8194,1300,756,946,595,405,327,375,416,106,35
28,Highlands,4454,681,406,602,325,244,188,191,258,10,11
29,Hillsborough,38160,4649,3947,5343,3179,1508,1552,1733,1941,498,364
30,Holmes,402,90,0,24,11,0,0,0,0,0,0
31,Indian River,7497,1100,884,872,538,378,304,352,684,85,0
32,Jackson,1079,201,74,124,97,11,36,14,11,0,0
33,Jefferson,430,55,43,29,0,0,0,0,0,0,0
34,Lafayette,180,12,0,11,0,0,0,0,0,0,0
35,Lake,15256,2068,1569,1979,1112,761,581,776,772,172,70
36,Lee,26147,3649,2398,3381,1884,1156,1091,1368,1878,248,180
37,Leon,6022,721,701,924,455,141,249,249,237,88,13
38,Levy,1457,262,129,177,121,52,66,52,41,0,0
39,Liberty,199,24,0,0,0,0,0,0,0,0,0
40,Madison,483,94,60,33,13,0,0,0,0,0,0
41,Manatee,14158,1866,1472,1879,975,683,520,710,1081,192,63
42,Marion,15552,2372,1571,1961,1093,714,526,735,845,198,105
43,Martin,6758,910,739,870,452,369,219,318,741,81,12
44,Miami-Dade,66624,7059,7704,9609,6214,2489,2569,3321,1266,913,759
45,Monroe,2332,304,240,274,228,83,170,71,181,0,0
46,Nassau,3487,507,381,453,234,153,156,131,271,37,11
47,Okaloosa,5313,827,494,669,370,280,244,229,342,58,22
48,Okeechobee,1335,247,117,162,106,51,70,27,0,0,0
49,Orange,28852,3151,3021,4356,2563,982,1046,1237,1026,357,333
50,Osceola,9518,969,982,1338,789,333,314,368,330,125,113
51,Palm Beach,45875,5636,4912,6627,3368,2461,1675,2298,2632,608,313
52,Pasco,18839,2903,1767,2367,1439,967,801,835,1092,244,142
53,Pinellas,36670,5163,3567,5220,2746,1811,1678,1644,2231,450,246
54,Polk,21095,3136,2377,2742,1720,879,874,860,1200,219,220
55,Putnam,2496,541,237,292,218,123,118,78,101,0,0
56,Santa Rosa,5198,813,568,686,389,269,212,245,326,41,10
57,Sarasota,20128,2799,2071,2625,1325,1091,755,1076,1305,237,99
58,Seminole,11332,1327,1084,1788,883,437,408,517,549,150,96
59,St. Johns,7765,934,955,1167,536,405,331,349,586,88,0
60,St. Lucie,9905,1515,1083,1293,764,493,397,373,535,121,81
61,Sumter,7112,1081,879,1107,457,418,250,264,256,84,0
62,Suwannee,1465,270,170,171,133,59,90,48,22,0,0
63,Taylor,625,134,34,67,64,0,0,0,0,0,0
64,Union,1124,183,189,57,122,12,104,11,0,0,0
65,Volusia,20350,3317,1702,2800,1641,750,906,877,1154,257,144
66,Wakulla,900,142,112,111,72,0,36,0,32,0,0
67,Walton,1773,305,166,246,149,81,95,76,66,0,0
68,Washington,532,109,13,54,10,0,0,0,0,0,0
